Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"06037234700","Census Tract 2347, Los Angeles County, California","ca","140","00",,,,"06","037",,,"234700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037234700","Census Tract 2347",,,,3838,219,284,297,130,270,608,479,558,347,417,186,43,5.71,7.4,7.74,3.39,7.03,15.84,12.48,14.54,9.04,10.87,4.85,1.12
"06037234800","Census Tract 2348, Los Angeles County, California","ca","140","00",,,,"06","037",,,"234800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037234800","Census Tract 2348",,,,3534,245,303,218,129,296,584,425,416,497,221,154,46,6.93,8.57,6.17,3.65,8.38,16.53,12.03,11.77,14.06,6.25,4.36,1.3
"06037234901","Census Tract 2349.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"234901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037234901","Census Tract 2349.01",,,,2916,137,92,182,63,377,543,453,226,310,219,264,50,4.7,3.16,6.24,2.16,12.93,18.62,15.53,7.75,10.63,7.51,9.05,1.71
"06037234902","Census Tract 2349.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"234902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037234902","Census Tract 2349.02",,,,4535,130,223,442,198,434,316,851,550,635,524,185,47,2.87,4.92,9.75,4.37,9.57,6.97,18.77,12.13,14,11.55,4.08,1.04
"06037235100","Census Tract 2351, Los Angeles County, California","ca","140","00",,,,"06","037",,,"235100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037235100","Census Tract 2351",,,,4032,125,100,185,115,329,449,550,547,831,281,430,90,3.1,2.48,4.59,2.85,8.16,11.14,13.64,13.57,20.61,6.97,10.66,2.23
"06037235201","Census Tract 2352.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"235201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037235201","Census Tract 2352.01",,,,2880,166,144,237,238,286,205,341,479,351,217,163,53,5.76,5,8.23,8.26,9.93,7.12,11.84,16.63,12.19,7.53,5.66,1.84
"06037235202","Census Tract 2352.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"235202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037235202","Census Tract 2352.02",,,,3887,306,187,248,221,373,542,541,423,331,438,160,117,7.87,4.81,6.38,5.69,9.6,13.94,13.92,10.88,8.52,11.27,4.12,3.01
"06037236001","Census Tract 2360.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"236001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037236001","Census Tract 2360.01",,,,4063,76,46,333,120,211,364,563,486,625,681,310,248,1.87,1.13,8.2,2.95,5.19,8.96,13.86,11.96,15.38,16.76,7.63,6.1
"06037236101","Census Tract 2361.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"236101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037236101","Census Tract 2361.01",,,,2606,43,75,100,21,244,246,335,268,249,765,190,70,1.65,2.88,3.84,0.81,9.36,9.44,12.85,10.28,9.55,29.36,7.29,2.69
"06037236102","Census Tract 2361.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"236102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037236102","Census Tract 2361.02",,,,3510,48,32,407,40,122,762,873,437,385,279,125,0,1.37,0.91,11.6,1.14,3.48,21.71,24.87,12.45,10.97,7.95,3.56,0
